index,ROA(C) before interest and depreciation before interest,ROA(A) before interest and % after tax,ROA(B) before interest and depreciation after tax,Operating Gross Margin,Realized Sales Gross Margin,Operating Profit Rate,Pre-tax net Interest Rate,After-tax net Interest Rate,Non-industry income and expenditure/revenue,Continuous interest rate (after tax),Operating Expense Rate,Research and development expense rate,Cash flow rate,Interest-bearing debt interest rate,Tax rate (A),Net Value Per Share (B),Net Value Per Share (A),Net Value Per Share (C),Persistent EPS in the Last Four Seasons,Cash Flow Per Share,Revenue Per Share (Yuan ¥),Operating Profit Per Share (Yuan ¥),Per Share Net profit before tax (Yuan ¥),Realized Sales Gross Profit Growth Rate,Operating Profit Growth Rate,After-tax Net Profit Growth Rate,Regular Net Profit Growth Rate,Continuous Net Profit Growth Rate,Total Asset Growth Rate,Net Value Growth Rate,Total Asset Return Growth Rate Ratio,Cash Reinvestment %,Current Ratio,Quick Ratio,Interest Expense Ratio,Total debt/Total net worth,Debt ratio %,Net worth/Assets,Long-term fund suitability ratio (A),Borrowing dependency,Contingent liabilities/Net worth,Operating profit/Paid-in capital,Net profit before tax/Paid-in capital,Inventory and accounts receivable/Net value,Total Asset Turnover,Accounts Receivable Turnover,Average Collection Days,Inventory Turnover Rate (times),Fixed Assets Turnover Frequency,Net Worth Turnover Rate (times),Revenue per person,Operating profit per person,Allocation rate per person,Working Capital to Total Assets,Quick Assets/Total Assets,Current Assets/Total Assets,Cash/Total Assets,Quick Assets/Current Liability,Cash/Current Liability,Current Liability to Assets,Operating Funds to Liability,Inventory/Working Capital,Inventory/Current Liability,Current Liabilities/Liability,Working Capital/Equity,Current Liabilities/Equity,Long-term Liability to Current Assets,Retained Earnings to Total Assets,Total income/Total expense,Total expense/Assets,Current Asset Turnover Rate,Quick Asset Turnover Rate,Working capitcal Turnover Rate,Cash Turnover Rate,Cash Flow to Sales,Fixed Assets to Assets,Current Liability to Liability,Current Liability to Equity,Equity to Long-term Liability,Cash Flow to Total Assets,Cash Flow to Liability,CFO to Assets,Cash Flow to Equity,Current Liability to Current Assets,Liability-Assets Flag,Net Income to Total Assets,Total assets to GNP price,No-credit Interval,Gross Profit to Sales,Net Income to Stockholder's Equity,Liability to Equity,Degree of Financial Leverage (DFL),Interest Coverage Ratio (Interest expense to EBIT),Net Income Flag,Equity to Liability
Operating Expense Rate,-0.03664477129146306,-0.022579812669102167,-0.03768695525544288,-0.20635592119067026,-0.2065105220702259,-0.09567327680077416,-0.08644927029053477,-0.08899518103747887,0.0031492929884006223,-0.08925503325549719,1.0,-0.16171153466738705,-0.06718698437970054,0.036921072228335336,0.011605398421885994,-0.0036777525771045376,-0.003682392175877915,-0.004116225079097479,-0.003177712774885721,-0.03897387496350481,0.12391971989659827,0.0012478858115279182,0.004652926148022342,0.018661092472264464,0.011203428675824464,-0.0007286105232778047,0.0016432484211776946,-0.0030503321148682067,-0.021353787034265707,0.007383357747054095,0.007641113958445994,-0.04148905375992416,-0.04387663418255153,-0.028996188821656527,0.025015989898752717,0.07560612376170335,0.07571422413360143,-0.07571422413360143,0.05852273767414867,0.05271062445769849,0.012801818672720386,0.0008402330621061331,0.0034103915592687576,0.05450346212758433,0.11657918573040169,0.10271239672209302,-0.09702206933841878,-0.06939264917996646,0.06656764624416893,0.12542874034188095,0.16454928293721122,0.02841923284663166,-0.003338219472096299,-0.011597436347496201,0.06070861991005577,0.05523768091556061,-0.010659380135395694,-0.030049278431801846,-0.032335012603007154,0.07396007461321899,-0.06584833983053394,0.010241865293643643,-0.037890474183970554,0.03349932216709848,0.02481305274378053,0.0745021221004177,-0.017938338868002328,-0.02070642026672797,0.028830404473834906,-0.1482883719172083,0.10629847960179328,0.10400433214382288,-0.08231936210682571,0.02142753618294583,0.0027673014496307187,-0.07857220357118855,0.03349932216709848,0.0745021221004177,0.003118964074053609,0.01522442389218992,0.01286957804704501,-0.055214527620676086,0.018443121366175274,0.0438766392513967,,-0.02947510368492446,0.12089385500354825,0.03092706635229044,-0.20635898517350942,-0.005625689728959683,0.07512551912585677,0.023079893205138546,0.024578661543142897,,-0.07571835651577981
Research and development expense rate,0.13804073668636346,0.1072041979837362,0.1368251890892209,0.013604655193879593,0.013521326219211035,0.08276492132842392,0.0921696208099558,0.09022214741848635,0.06154918423695018,0.10201639714438979,-0.16171153466738705,1.0,0.08022058928133097,-0.05996334573589994,0.031304535518990824,0.14772921217326745,0.1476630168671287,0.14674950188357888,0.11726363214120504,0.09887350294197314,0.1217017402958022,0.10234756457845226,0.10659044240996118,0.010295490186811668,0.02723177433933632,0.03310168447011743,0.0314684205685482,0.03362447293392508,0.047446146375929074,0.07372501277975156,0.044877580664775776,0.05527966817397386,0.06556737392751529,0.1581854101791482,-0.04663348718729582,-0.08093759650679695,-0.08001737627857528,0.08001737627857528,-0.004898039060939237,-0.09687400389686353,0.04918417434425356,0.10225228069981113,0.10804855088747081,-0.01638520481860404,0.11720559222472712,-0.19713026789417282,0.18114909540501595,-0.06640468602940296,-0.03605226250141148,0.07456934896759033,-0.08397938461980714,0.0283418085387402,-0.10358794102593626,0.029478289523868568,0.12499069862181841,-0.04036798368726733,0.12850658882146068,0.1428996402771643,0.1053795949135682,-0.05382415520161082,0.08687122478734416,-0.030662583389566695,-0.09991275939041798,-0.04413189106761359,-0.015832621458253517,-0.0628842133929952,0.04861521357926254,0.12465949038093152,0.10410653522760746,0.03752925060483869,-0.16590277918987514,-0.09777042892355739,-0.006817975060538677,-0.0012022472114102307,0.0002736463213887189,0.038028106449078045,-0.04413189106761359,-0.0628842133929952,0.04061227654594,0.007532786077724514,0.006129296197740386,0.08114626347976292,0.007829079473637524,-0.06556909588402499,,0.11568797399779975,0.012721603932956432,0.09790192604746231,0.013601518769167606,0.09223561738714063,-0.0788842132438007,-0.0007030540075119319,-0.023435101213777974,,0.08002796184231968
Cash flow rate,0.4810537721103762,0.4072678273800224,0.47850120731831375,0.39473410955382293,0.39635160051688906,0.4919761836175516,0.4681007774727867,0.4629377663922321,0.1505996614441346,0.47029922276727604,-0.06718698437970054,0.08022058928133097,1.0,-0.15983007165743687,0.17361299412026898,0.30975405803575506,0.3097242937205018,0.30902184906208996,0.363113852225004,0.851087884043594,-0.04215507960798467,0.3569381410783562,0.3501156466118312,0.03319872285190895,0.08860077636760486,0.09675635097425296,0.0957522198488987,0.09219226988299127,0.07910017113201916,0.0969823164729329,0.08968115135496156,0.791533255461831,0.3665847285411089,0.41631107274807816,-0.035652473299238596,-0.46641391946001604,-0.46760833439668736,0.46760833439668736,-0.003562919705601694,-0.4283051577259694,-0.07572928577537712,0.3562399379084527,0.3563840962447822,-0.4238974282159127,-0.03398574722148656,0.09061824469022116,-0.09496326764632415,-0.04134219001280508,-0.03973400846325475,-0.18857587288926556,-0.07922490825177524,0.33951911315203526,0.04901537287423954,0.2054474912537871,0.04088824128611481,-0.12629747242218375,0.29832406192577,0.4032276085753346,0.42998214903479876,-0.4806750570899405,0.9734316007288225,-0.2031167960248663,-0.005602940378264482,-0.10056905800380579,0.05593294212594369,-0.49422296073358674,-0.08646516288051168,0.431086640119751,0.37525177723230846,-0.03513626143667781,-0.05623061082625297,-0.08305734868078636,0.22413954137720496,-0.15647583338759888,0.23143227607793998,0.1233339298959657,-0.10056905800380579,-0.49422296073358674,-0.16077156266792342,0.2401314899279307,0.2547920735169157,0.9225867104730227,0.22387054561250547,-0.36658723220105277,,0.4408584483443125,0.05095883978427634,0.19983280837783507,0.39472087681214024,0.35065031384715695,-0.46453533540418734,-0.011951598652337204,-0.026383578806874544,,0.46761987415853734
Interest-bearing debt interest rate,-0.12668110307949426,-0.10931023247351823,-0.12363739586548814,-0.19308101927598997,-0.19349296254221587,-0.12827140940928197,-0.16024668197290495,-0.15901433522287584,-0.13579465758705658,-0.17550456378617216,0.036921072228335336,-0.05996334573589994,-0.15983007165743687,1.0,-0.02911553317165412,-0.14366343206006096,-0.14369405547117348,-0.14266003367936328,-0.14442763248793536,-0.10969424114038223,0.015318100093313683,-0.09275294555717042,-0.1290950443688158,-0.007430615757475356,-0.001564139714726234,-0.005634213434473724,-0.005642537339002021,-0.0017354452381420154,-0.03600834180850887,-0.029671538328829242,0.0008753833163475632,-0.0486855865807416,-0.2495303231804323,-0.28422054049997264,0.23847117139299281,0.2528027543134708,0.2536677317693034,-0.2536677317693034,-0.190994366065102,0.32046914680808947,0.09879995965225577,-0.09296309508104612,-0.1319456866151982,0.16283395159315792,-0.0008552377401735143,2.354220223477362e-06,-0.006619979309537158,0.02582944168216458,-0.016751310313864395,0.0995790371610763,0.026960743340292383,-0.09712241150314468,0.16092729722635826,-0.23126520530047365,-0.19914209251098022,-0.11333466274934201,-0.2567888265130717,-0.275266778810798,-0.2705705623259486,0.1895797243761831,-0.1710768716491915,0.10942738433858304,0.008099410017785781,-0.11793090063113056,-0.17721562958945009,0.21855592922626763,0.22169583640181925,-0.16682259972903096,-0.12300294774592575,-0.04540404875380938,0.016352782633233236,0.07056172839051342,-0.2258191131361358,0.11828222148847692,-0.06514125821703548,0.14513297503609876,-0.11793090063113056,0.21855592922626763,0.22327587944446495,-0.06232128825560648,-0.06805413452073063,-0.12075781999534523,-0.05898589751392101,0.24952969923765964,,-0.14864453819651413,0.1077993018949239,-0.1540080222984052,-0.19306960475527338,-0.12036505556345974,0.2547564408564198,0.20336074315810507,0.2382744366391122,,-0.25369128045235173
Tax rate (A),0.4591494504241139,0.42925214428907477,0.39029945120342324,0.15957090444557842,0.15927240827428657,0.41867809761252184,0.4435683030424463,0.3618770507091431,0.26696032194654196,0.37371155295079916,0.011605398421885994,0.031304535518990824,0.17361299412026898,-0.02911553317165412,1.0,0.37014442229434685,0.37009138332522434,0.36909189670357384,0.46665625712503295,0.23451425808673515,0.3697609141709984,0.5130119626951591,0.5312913629773006,0.13807013366970133,0.19856314571611464,0.2043076997403985,0.20222851821874316,0.1948336492018593,0.16328699802286167,0.27791581125716663,0.13712867245040672,0.13710508837118326,0.08888396566436414,0.13442365014581423,0.3839218669464151,-0.026986470769766405,-0.02628830354154319,0.02628830354154319,0.12291573275573542,-0.13566855008264148,0.048983313757790484,0.5135970024300884,0.5328567722263492,0.11349036816899474,0.3105474606269625,-0.02791960977645379,0.023928421242807637,-0.09512408960246824,-0.09488161131721586,0.2554010828813495,0.18575228136996483,0.46470191072437483,-0.10874493207113779,0.13308876565523312,0.188757319035716,0.13763764782959517,0.0784276157100865,0.11989680402668726,0.030736393304444158,0.045128628413611,0.18790481696803182,0.03965251072752,-0.03346134390996518,0.05188249407728011,0.14954191033332595,0.021086838689110897,-0.10522194491473677,0.45489364198625537,0.42730082067514047,-0.11698167739579765,-0.07583626880942318,-0.022159425572993212,0.001953515279309642,0.026608909574560448,0.05617541896104699,-0.1191309490131876,0.05188249407728011,0.021086838689110897,-0.08699103728915475,0.07172943993594963,0.06848767619882631,0.1976204423888123,0.07201466188920318,-0.08888562663419106,,0.4348173585418912,-0.008259702469985116,0.12582770859484313,0.15956771754391005,0.44480039140257865,-0.021450932051122293,0.4090842235561073,0.35392600762340926,,0.026288674914969352
Net Value Per Share (B),0.594911610998434,0.6490843274003156,0.5945617433098825,0.25755500786458846,0.255910571381617,0.5199293957766766,0.6338056279750452,0.6262396588399278,0.41362005462247625,0.6196280565995063,-0.0036777525771045376,0.14772921217326745,0.30975405803575506,-0.14366343206006096,0.37014442229434685,1.0,0.9999453860325745,0.9995315670757464,0.735377103135262,0.4036023041394209,0.428992111524299,0.6299751121437988,0.7418595576386119,0.1311067013380053,0.13847980859098477,0.19245218731576463,0.19027208541773802,0.17243091071263666,0.16273221966059007,0.4357916530624696,0.19243545961385172,0.1463130904201449,0.2429774193031447,0.2894232761215471,0.1366225504694602,-0.2501803218703953,-0.2491786158262791,0.2491786158262791,0.2631967915350671,-0.29950700592823837,0.10136132760440363,0.6289762422553458,0.7443675546199482,-0.10250580248567931,0.16229744097485913,0.014533615142496424,-0.017406419667805473,-0.10049570972186783,-0.010913664692852303,0.03946602972775611,0.21352675222087597,0.5615460069882428,-0.054097298294819664,0.22000787721144494,0.13167699846759207,0.06698235828560513,0.19577348299399552,0.2649791180730568,0.23003940375570078,-0.19664828792747813,0.3126736569249709,-0.008056290449999648,-0.007894409251591683,0.028918849685488576,0.1727396895240839,-0.2203636213045404,-0.10146863226236207,0.7856352758342653,0.6751399443728918,-0.2806537768878311,-0.0801632123248975,-0.05916149340670134,0.1859193510415617,-0.0819030219329992,0.11739121399626624,-0.18976621277462247,0.028918849685488576,-0.2203636213045404,-0.1270023729107798,0.12317050146711701,0.12238430292126068,0.28061422552110127,0.11951176131034669,-0.242980852073238,,0.6619031571928876,0.3075637550201681,0.18703471728493812,0.2575387865934982,0.6420301844438172,-0.24173610764212927,0.1616985688737506,0.12642993864430324,,0.24917244986199008
Net Value Per Share (A),0.5948015395196495,0.6489731772550309,0.5944584915624623,0.2575384894246679,0.2558944980194763,0.5198874485064867,0.6337486971561671,0.6261937392385895,0.4136171574565527,0.6195914555538079,-0.003682392175877915,0.1476630168671287,0.3097242937205018,-0.14369405547117348,0.37009138332522434,0.9999453860325745,1.0,0.9995859093804601,0.7352841504723321,0.4034347219620175,0.42889978045034177,0.6298191059236169,0.7416949813258332,0.13119975954806656,0.13852378849280972,0.19244419090508225,0.19026251599396815,0.1723395910861747,0.1624134484802607,0.43581338810470155,0.1924478946157072,0.14628054487178346,0.24316403023831284,0.2895505453549809,0.13668487772044546,-0.2503575948939023,-0.24935752957709306,0.24935752957709306,0.2633454199287176,-0.29955161457255697,0.10129125530234859,0.6288215481381536,0.7441907245609267,-0.10253531463131954,0.16229722030507304,0.014315869039149026,-0.01724108092225356,-0.10061865341418948,-0.010984996267725318,0.03938465731782592,0.21381075273594008,0.5615794870319791,-0.05391382316286901,0.22021504739740216,0.13180200284345997,0.0671369507592797,0.19566994835223614,0.2651202726699302,0.23028104966958832,-0.19681530766985236,0.3126457934480719,-0.007857489587599704,-0.007735864815118979,0.0290318586302843,0.17291268608955832,-0.2205385816122329,-0.10134530689556855,0.7854145105750235,0.6751205949087842,-0.2806745080585165,-0.08009516928699584,-0.059196201987065857,0.18616216252093398,-0.08174835279501616,0.11719972841125602,-0.18987449929208136,0.0290318586302843,-0.2205385816122329,-0.12701204931416837,0.12298615445888879,0.12216693485091294,0.2805042845220307,0.119343271090746,-0.24316746468935735,,0.6617628043636251,0.3076298218472437,0.18717383769263168,0.25752242685205085,0.6418187993045553,-0.2419134936195533,0.16179603801198378,0.12652505490797156,,0.2493513461588958
Net Value Per Share (C),0.5941276409334197,0.6486965789051155,0.5938347922723821,0.25749070896393444,0.2558325830702583,0.5193302531760499,0.6336797948806572,0.6261786189653623,0.4133499878542181,0.619051907639742,-0.004116225079097479,0.14674950188357888,0.30902184906208996,-0.14266003367936328,0.36909189670357384,0.9995315670757464,0.9995859093804601,1.0,0.7346268374917951,0.4027988312305578,0.4276977484986433,0.6291391292385119,0.7412544957050902,0.13127500858787766,0.13852507695535374,0.19235909849559252,0.19018560154851682,0.1718638120545995,0.1627076729746689,0.4355118583843047,0.1922936217925035,0.14591357269897207,0.2431314741631633,0.28892954303494794,0.1363141624481364,-0.24998786308886464,-0.24898798703740138,0.24898798703740138,0.26329264128695107,-0.298833025130447,0.10257905655091656,0.6281435175141805,0.7436711284154405,-0.1020380894703624,0.1610230391146688,0.014242215027711723,-0.017182824561562574,-0.10053761003082862,-0.011407117350184275,0.03820141765475293,0.2141117250887727,0.5610068886918665,-0.05277870506747052,0.2203265774005843,0.13109045998535737,0.06722961490381009,0.19496774393286384,0.2645021878184297,0.23037067528149757,-0.19667167281405895,0.31201136180547734,-0.007071969315656202,-0.007005370989543476,0.028767791395575677,0.17325845417125496,-0.2202092885286938,-0.10112697495906918,0.7849284856337001,0.6747906535008658,-0.28074995345067894,-0.07924355208628861,-0.05906321730565644,0.18712333379820917,-0.08203913181759594,0.11751712136948163,-0.18991656339903115,0.028767791395575677,-0.2202092885286938,-0.12662569598643897,0.123176298174677,0.12226133368784738,0.27983977954060535,0.11958579367268957,-0.24313486298106918,,0.6614277509758062,0.3090068090476555,0.1868909826865614,0.2574744751186454,0.6414196709307415,-0.24154375878195036,0.16154603720948693,0.12618255041185308,,0.24898165905713013
Persistent EPS in the Last Four Seasons,0.9072008179576297,0.9459225214606323,0.9136899890530563,0.4471604345432846,0.44464063929201697,0.7730580791590964,0.8493829805324723,0.8431692097325507,0.4469628330033888,0.875343705476324,-0.003177712774885721,0.11726363214120504,0.363113852225004,-0.14442763248793536,0.46665625712503295,0.735377103135262,0.7352841504723321,0.7346268374917951,1.0,0.4718013809424067,0.48405945936616535,0.8877699624912638,0.9761738678152021,0.38678725568016886,0.402141927572096,0.4597898943502158,0.4592072490119891,0.46809262224322595,0.20996182088269555,0.6617318888833864,0.4681422705822152,0.2713986228041696,0.2473181678188194,0.29111365289898844,0.2022303329589633,-0.17488627760122233,-0.17422950013522193,0.17422950013522193,0.252505451388626,-0.29750334264579487,-0.036699296478726474,0.8871619757411413,0.9775566867830265,0.03187658312909267,0.3546237226529797,0.0777255167115279,-0.0781639202346651,-0.10074781987018958,-0.042279171550647435,0.2420493880710248,0.2044347554930427,0.7756712003816342,-0.1706225738760584,0.2934324764429514,0.2600506577148075,0.22048967357880944,0.25876124810847556,0.2653520368124634,0.22419129002616225,-0.0785442032310983,0.38507829846370306,-0.0063354213302389715,0.011643475723301579,0.11847847721744313,0.27824533547526364,-0.11301244871391954,-0.14571151714485786,0.8706253272611869,0.8777116610998141,-0.174363457091619,-0.0925527792790753,-0.04279749489371591,0.16166188494387645,-0.06324364576655545,0.19275004472897111,-0.20677361158675103,0.11847847721744313,-0.11301244871391954,-0.14843957680610373,0.21267301428391117,0.20230192703930583,0.3943742909414708,0.21245251400345974,-0.247318663531593,,0.9431994530355331,0.08815387161366688,0.18549072695692523,0.44715439097981385,0.9547752621550021,-0.16701892040160585,0.24545985462380432,0.1960747668794964,,0.17422455644344953
Cash Flow Per Share,0.5263947452627024,0.46330135392442456,0.5203424449645322,0.31208842377992946,0.3130044918255458,0.4810809900451727,0.44725665031165973,0.43776167706830016,0.13549781120201954,0.4530080273885617,-0.03897387496350481,0.09887350294197314,0.851087884043594,-0.10969424114038223,0.23451425808673515,0.4036023041394209,0.4034347219620175,0.4027988312305578,0.4718013809424067,1.0,0.2130122860562657,0.4798161682692683,0.4614104805259922,0.09783086812744121,0.13614675476057503,0.14251360144376726,0.14025909612460002,0.1408990552724159,0.09385241963070276,0.1919131461024832,0.15506631971437285,0.8904353005808423,0.15378524890277995,0.2285133343270218,0.03524326419094538,-0.19858360429674912,-0.19818054045992942,0.19818054045992942,0.0058868447427037575,-0.2740932130908351,-0.040307120905793185,0.47853085415572805,0.4650909961420548,-0.18238513138839232,0.1305247854322635,0.06716798137597389,-0.06702247354651238,-0.07998333262523805,-0.02421415404794966,0.04915171359798152,0.03730916327150269,0.39882724571031203,-0.0066663058639537445,0.11646475362546693,0.11601787617085446,-0.011455981583994483,0.2812100479816589,0.21022093077170223,0.2821950518444147,-0.1662514204602173,0.8697290436616418,-0.11461238484806567,-0.0827800510101584,0.005482754897881306,0.047867169310145945,-0.1802568874790047,-0.04535026697896182,0.47960427269404704,0.4065520486889198,-0.026957773737448603,-0.07223663561865841,-0.07387711280211287,0.05429572840586948,-0.11041564579478229,0.26075247431258347,0.04786114990774414,0.005482754897881306,-0.1802568874790047,-0.08360300902347421,0.2836902083031729,0.2779732829481931,0.9541515457622244,0.28029912615338987,-0.15378666687853265,,0.48188607177943615,0.10851014169999469,0.12491437692544831,0.31207656069460527,0.44579370658833767,-0.19533990524815267,0.0519037843575985,0.04234813254607744,,0.19819254814916526
Revenue Per Share (Yuan ¥),0.3541460701857684,0.39576380151633134,0.3402285285509428,-0.15558033476670485,-0.15696668058776855,0.1903425612563073,0.1517148255940816,0.13336208124825158,0.07628056708064959,0.15829475795794068,0.12391971989659827,0.1217017402958022,-0.04215507960798467,0.015318100093313683,0.3697609141709984,0.428992111524299,0.42889978045034177,0.4276977484986433,0.48405945936616535,0.2130122860562657,1.0,0.549133988540939,0.4918589456960994,0.16749903353911239,0.1708110591520458,0.16398370093068027,0.16238481024125132,0.16068387133878467,0.07485195931013156,0.29761786930045364,0.1621890535815458,0.10209365703667012,-0.06366081157243848,-0.012685590138367916,0.18715491682303068,0.3561935096077104,0.357268833594325,-0.357268833594325,0.21226692661170773,0.06896399415217397,0.06658914018165865,0.5485113481097922,0.4925317939905923,0.561948194296714,0.8678342536204199,0.10770837565012976,-0.11884211177698711,-0.2049891236823827,0.0032678960416376813,0.8763163014921604,0.5267690707679851,0.4088291997585151,-0.3185116708485819,0.1576360966849749,0.44717867133742883,0.45841620822915924,0.13650692252755836,-0.024472118526018678,-0.10228222985082518,0.46946001414110117,0.00750258366100078,0.17106981118297065,-0.022479465550073022,0.23332783895796244,0.298421683178346,0.44987265442925717,-0.08761499321379297,0.3932428029000375,0.2936980803920631,0.11623938223741472,-0.1154610559398756,0.08228607429012592,-0.24825955420589943,0.12447006844196679,0.0624116430019305,-0.30689095831312957,0.23332783895796244,0.44987265442925717,0.01743358913655677,0.10693950840283625,0.08396525074713658,0.1044021031771528,0.11873649397278947,0.06366218980176669,,0.37685503318597513,0.06697088576167366,0.05080706862808084,-0.15558408390102835,0.45458130273877095,0.358011356875235,0.2174849507973752,0.19484573949515885,,-0.3572693530282662
Operating Profit Per Share (Yuan ¥),0.8341030879540794,0.8462236000925918,0.8256571598194629,0.4797434658804399,0.47908364120352964,0.860713401730793,0.7223856241721212,0.7015092350317815,0.14523199842654472,0.7319418410191572,0.0012478858115279182,0.10234756457845226,0.3569381410783562,-0.09275294555717042,0.5130119626951591,0.6299751121437988,0.6298191059236169,0.6291391292385119,0.8877699624912638,0.4798161682692683,0.549133988540939,1.0,0.8808230010604601,0.4283744123802286,0.4665032856182513,0.40236223376020686,0.40168095693177347,0.40906401917812324,0.20074201967557712,0.5845514429125463,0.4065695446782561,0.3166991098959782,0.23032117704811259,0.24739447157683506,0.23823697599107185,-0.06991448663504199,-0.0691040955079444,0.0691040955079444,0.16344108457879356,-0.19899753950657817,-0.07515006941601513,0.9994582569347045,0.8816133051997289,0.15948642143555375,0.4391879478705693,0.10035339837635754,-0.10540719348579948,-0.09393030419928879,-0.03494207422579174,0.35140646010825793,0.24341363072335373,0.8688316661149902,-0.13905826273335567,0.3215327794351953,0.31397696218258253,0.31647366857450443,0.24078943126739166,0.22750328987705457,0.16879981221030332,0.026176872394360572,0.3840622946535183,0.040221352392614956,0.058591055193381814,0.15314996102929423,0.336874304016226,-0.0013614868660707393,-0.12686613796755572,0.7604459334054615,0.7395263126115328,-0.050668505647373865,-0.11188931759875059,-0.04357062966153806,0.1375859667729553,-0.02768203035550455,0.17559238363245513,-0.14193420896648315,0.15314996102929423,-0.0013614868660707393,-0.09443809735562342,0.20333305879904007,0.19126164158842987,0.41461581011221715,0.20547805317839626,-0.23032179493717897,,0.833610571231816,0.05577196685668541,0.15671088341425637,0.4797399934646686,0.8586600397149836,-0.06212240973096521,0.26627311146426336,0.22878702933804165,,0.0691047194152858
Per Share Net profit before tax (Yuan ¥),0.893388815811736,0.9548839249420403,0.8848495395083594,0.430116670505445,0.4276837435457931,0.7604072193359898,0.8676261647319021,0.8487493627183442,0.4909882614989076,0.843455812515075,0.004652926148022342,0.10659044240996118,0.3501156466118312,-0.1290950443688158,0.5312913629773006,0.7418595576386119,0.7416949813258332,0.7412544957050902,0.9761738678152021,0.4614104805259922,0.4918589456960994,0.8808230010604601,1.0,0.38099805942608495,0.39866413912884757,0.4789970497175282,0.4787073976580711,0.45105166007753394,0.21167979667665296,0.675983672496086,0.4832889532042844,0.2578028416465085,0.24912225806451263,0.29689744254031325,0.2127005655405666,-0.17206616143651884,-0.17138751863753215,0.17138751863753215,0.255948777536607,-0.30032780902025025,-0.029682174484475167,0.8804538313893681,0.9975642606656913,0.03258201279381672,0.3639953908535711,0.0765203653569028,-0.0779120966279665,-0.10976731690252152,-0.04268681818118542,0.2514197592617099,0.21419098812797593,0.7685302282356697,-0.17073880528578594,0.2955846074321278,0.267391755225849,0.22102834133189728,0.2535360000311769,0.2711777296163621,0.21915696726425826,-0.0770348670434168,0.3704635101333877,-0.011067328866048666,0.005106082784571838,0.11226776121056811,0.2818673130278549,-0.11148521846328012,-0.1475987598787129,0.877090603875171,0.8887518032544267,-0.18382347278774788,-0.08881281472664433,-0.0379249474929393,0.15939480526968036,-0.06516259953023225,0.19484356229251332,-0.21112480537230457,0.11226776121056811,-0.11148521846328012,-0.15010578324453597,0.21547277330835485,0.20518027220572604,0.3783517417513261,0.21459119166853347,-0.24912239015274396,,0.9498972495877888,0.08945937271062016,0.19876575654755307,0.4301082680066202,0.9608847286452892,-0.16410684352546154,0.2587867977899313,0.20799487476108078,,0.17138234333135072
Realized Sales Gross Profit Growth Rate,0.4062223211165105,0.4046741545359138,0.41506321240036276,0.29259104638794314,0.28982752632864045,0.38840755286066414,0.3221988655555414,0.3290339172100933,0.06396841316348392,0.3330193152471989,0.018661092472264464,0.010295490186811668,0.03319872285190895,-0.007430615757475356,0.13807013366970133,0.1311067013380053,0.13119975954806656,0.13127500858787766,0.38678725568016886,0.09783086812744121,0.16749903353911239,0.4283744123802286,0.38099805942608495,1.0,0.8533003070024591,0.6681151020746469,0.6699240278769698,0.6993119148644186,0.0823945938574739,0.47336095970358205,0.7026216485535427,0.11428719141787387,0.06548953127970791,0.07238856311374565,0.177274924789722,0.02261953124244644,0.0239058115094456,-0.0239058115094456,0.038755935216973576,-0.05765637307516523,-0.1132490802736603,0.4282787282075403,0.37523115444964594,0.09314636883417507,0.20407951311648215,0.1258314941941551,-0.12912441875913322,-0.022818007831039152,0.007060140984320334,0.18694203514366634,0.026291634456056357,0.3691332273171787,-0.0980654195566733,0.12339655518162,0.14401349356105608,0.15477982819821645,0.08523977692893149,0.06288547617984862,0.03566632602899055,0.06200206009187467,0.043439051856089796,0.03288919276989503,0.019810934138926893,0.07020620424440929,0.14608819443289192,0.052331959716744834,-0.029723924113179583,0.21730957504016976,0.3463428937760018,0.0031195539560380245,-0.040828978939145055,-0.012794530777256194,0.05723195424828938,-0.01245921074849487,0.14930608661661912,-0.04184262447872424,0.07020620424440929,0.052331959716744834,-0.014579051791959804,0.1681466556203388,0.15384778439020852,0.06917672473300657,0.1692473952897623,-0.06549102318765895,,0.38016862114283523,-0.07942830374628085,0.04055131934725068,0.2925839896790873,0.4113413592585229,0.024664243094452195,0.19481036442460362,0.17665954310512946,,-0.023911314971559256
