feature_a,feature_b,pearson_r
Cash Flow Per Share,Cash Reinvestment %,0.8417994115540448
Revenue Per Share (Yuan ¥),Total Asset Turnover,0.8402764352891514
Net worth/Assets,Current Liability to Assets,-0.8388066613293502
Debt ratio %,Current Liability to Assets,0.8388066613293497
Working Capital to Total Assets,Current Liability to Current Assets,-0.8371322192874451
ROA(B) before interest and depreciation after tax,Per Share Net profit before tax (Yuan ¥),0.8365076863619889
ROA(A) before interest and % after tax,Retained Earnings to Total Assets,0.8345462067763997
ROA(B) before interest and depreciation after tax,Net profit before tax/Paid-in capital,0.8324959113791014
Operating Profit Rate,After-tax net Interest Rate,0.8318696566879817
ROA(C) before interest and depreciation before interest,Net Income to Stockholder's Equity,0.8316626686427774
Cash Flow to Sales,Cash Flow to Total Assets,0.8302769997326388
Inventory and accounts receivable/Net value,Current Liabilities/Equity,0.8262343414240705
Inventory and accounts receivable/Net value,Current Liability to Equity,0.8262343414240705
Regular Net Profit Growth Rate,Continuous Net Profit Growth Rate,0.8219208870830614
Debt ratio %,Current Liabilities/Equity,0.8214698420850638
Debt ratio %,Current Liability to Equity,0.8214698420850638
Net worth/Assets,Current Liabilities/Equity,-0.8214698420850637
Net worth/Assets,Current Liability to Equity,-0.8214698420850637
Operating Funds to Liability,CFO to Assets,0.8185746133726872
Cash Flow to Sales,Cash Flow to Liability,0.817228022466973
Current Ratio,Equity to Liability,0.8165642710635961
After-tax Net Profit Growth Rate,Continuous Net Profit Growth Rate,0.8157991896647445
Current Assets/Total Assets,Working Capital/Equity,0.8083485781017451
Quick Assets/Current Liability,Equity to Liability,0.8022555159951762
